"SEX","AGE","P","E","N"
2,52,22.6666666666667,14.6666666666667,26.3333333333333
2,38,12.6666666666667,21.6666666666667,7.33333333333333
2,20,18.6666666666667,24,24
2,42,10.6666666666667,21,5
2,50,18.3333333333333,18.6666666666667,18.3333333333333
2,16,29.3333333333333,26.3333333333333,12
1,16,21.6666666666667,19.6666666666667,19.6666666666667
1,37,15,14.3333333333333,15.3333333333333
1,53,16.3333333333333,32.3333333333333,5.33333333333333
2,27,13.3333333333333,24.3333333333333,4.66666666666667
2,48,12.6666666666667,17.6666666666667,12.3333333333333
1,28,29,18,31
2,26,21,11.6666666666667,32
1,41,16.3333333333333,23.3333333333333,7.66666666666667
2,26,18.3333333333333,26,4.33333333333333
2,59,14.6666666666667,9.66666666666667,25.3333333333333
1,58,22,19.3333333333333,27.6666666666667
1,23,18.6666666666667,25,16.3333333333333
1,32,21.6666666666667,20.6666666666667,15
1,16,16.6666666666667,20.3333333333333,19.6666666666667
2,54,18.3333333333333,20,20
2,35,16.6666666666667,34,26.6666666666667
1,16,23.3333333333333,18.6666666666667,19.6666666666667
1,20,24.3333333333333,25.6666666666667,13.6666666666667
2,51,19,26,18.6666666666667
1,78,9,27.3333333333333,0.666666666666667
2,27,23.6666666666667,19.6666666666667,8.33333333333333
2,23,27.3333333333333,25.3333333333333,11
1,45,7,15,6.33333333333333
2,55,6.66666666666667,10,7.66666666666667
2,17,20.6666666666667,30,13.3333333333333
2,17,14,13.6666666666667,9
2,22,15.6666666666667,29.3333333333333,13
2,48,14,16,20.3333333333333
2,51,9.33333333333333,16.3333333333333,31.3333333333333
2,45,20,30,19
2,29,22.3333333333333,27,2.33333333333333
1,29,31.3333333333333,27.3333333333333,7.66666666666667
2,45,17.3333333333333,19.6666666666667,5.33333333333333
1,44,21.6666666666667,21,24
2,40,11.6666666666667,33,3.33333333333333
2,51,12,22.3333333333333,2
1,49,12.6666666666667,5.33333333333333,36.6666666666667
2,30,18.6666666666667,18,12.6666666666667
1,46,10.6666666666667,23.3333333333333,16.6666666666667
1,47,17.3333333333333,35,22.6666666666667
1,33,13,20,2.66666666666667
2,50,20.3333333333333,10.3333333333333,25.3333333333333
1,42,15.3333333333333,13.3333333333333,26
1,39,15.3333333333333,23,10.3333333333333
1,28,9.33333333333333,30.6666666666667,5.33333333333333
1,35,16.6666666666667,20,9
1,38,28,16.6666666666667,18
1,33,21,25.3333333333333,19.6666666666667
1,54,21.6666666666667,17.3333333333333,26.6666666666667
1,72,16,21,23
1,54,29.3333333333333,17,21.3333333333333
1,44,19.3333333333333,18.6666666666667,19.3333333333333
1,44,17,29.3333333333333,15.6666666666667
2,66,24.3333333333333,15,14.6666666666667
2,27,14,25.3333333333333,18
2,17,12.3333333333333,25,15.6666666666667
2,17,12.3333333333333,24,14.6666666666667
2,53,24,25.6666666666667,10.3333333333333
1,22,20.3333333333333,16,19
1,47,15.6666666666667,22.3333333333333,10
1,25,29,15,25.3333333333333
1,69,22,20.6666666666667,19
1,37,15.3333333333333,23.3333333333333,4
1,50,26.6666666666667,28.3333333333333,5.33333333333333
2,50,16,25.3333333333333,24
1,22,17.6666666666667,23.6666666666667,4
1,31,16.3333333333333,19,11.6666666666667
2,53,14.6666666666667,27.3333333333333,16.6666666666667
2,53,15,22,7.33333333333333
1,40,16,21,6.66666666666667
1,33,29.3333333333333,19.3333333333333,7.33333333333333
1,37,10.3333333333333,27.3333333333333,4.66666666666667
1,41,21,30.3333333333333,4.33333333333333
1,33,19.3333333333333,13.3333333333333,27.3333333333333
2,66,9.33333333333333,26,6.33333333333333
2,42,30.6666666666667,21.6666666666667,15.3333333333333
2,32,17.6666666666667,29.6666666666667,1.66666666666667
