sex,age,Arithmetische_Kompetenz,Figural_Induktives_Denken,Wortbedeutung,Langzeitgedächtnis
1,26,2.708,-4.548,0.43,-1.112
2,44,0.194,0.528,1.873,-0.892
2,21,-0.219,-1.153,0.494,0.044
1,57,-0.219,-0.647,0.63,-0.892
2,57,-0.219,-2.109,-0.508,-1.943
1,42,-0.219,-1.255,0.363,-0.31
1,35,0.618,-1.858,0.664,-1.112
1,27,-0.628,-2.179,0.304,-2.837
1,48,1.544,1.882,2.434,0.393
2,38,-0.628,-0.636,2.689,0.755
2,42,2.08,-1.297,0.143,-0.687
1,39,-0.628,-1.24,-0.053,-2.837
1,37,-0.628,-0.94,2.189,-0.495
1,42,1.544,-2.934,0.59,-1.943
1,54,-1.045,-2.275,1.582,-2.837
1,55,2.08,0.495,2.073,-0.687
2,48,1.064,-2.583,0.243,-0.687
2,29,-0.628,-1.777,-2.652,-0.892
1,37,-0.628,-2.182,-2.726,-2.329
2,32,2.08,-1.799,0.593,-0.31
1,34,0.618,-2.963,-0.675,-1.627
2,59,0.618,-0.85,0.333,-2.837
1,34,1.064,-1.372,-0.298,-1.943
1,35,1.064,-0.362,1.253,-1.112
1,34,0.194,-0.073,-0.101,-0.132
1,31,1.544,-0.974,1.11,-0.892
1,34,2.08,-0.242,1.127,0.947
1,36,0.618,-0.249,0.067,-1.627
2,28,1.544,1.69,2.568,1.152
2,58,0.618,-0.892,1.212,-1.354
2,51,-0.219,-0.856,0.925,-1.112
1,41,1.544,-0.249,0.262,-0.31
2,29,0.618,-2.012,-0.085,-1.112
1,35,0.194,-1.442,0.84,-1.112
1,19,0.194,-0.105,-0.996,0.218
2,34,0.194,-1.738,-0.591,-2.329
2,37,1.544,-0.013,-1.105,-0.495
2,17,2.08,-1.056,1.006,0.571
1,22,1.064,-1.193,0.609,-0.132
2,53,-1.481,-1.896,-0.555,-2.329
2,55,0.194,-0.956,-2.093,-2.329
2,37,0.194,-1.504,2.076,-0.495
2,48,2.08,-1.144,1.198,-1.354
1,42,0.618,-0.89,1.398,0.218
1,28,1.544,0.178,0.705,0.393
2,19,0.618,-1.865,-1.462,-1.354
1,39,-0.628,0.104,1.225,-0.31
1,28,2.08,-0.454,0.599,0.218
1,20,3.49,-0.2,0.224,1.909
2,22,-0.219,-0.954,1.093,0.218
2,57,-1.045,-0.984,0.829,-0.892
2,42,3.49,-0.016,0.252,-0.31
1,57,0.618,-0.158,1.928,-2.831
